Pavarde             Vardas              Galutinis
Pavarde579          Vardas579           6.36
Pavarde581          Vardas581           5.44
Pavarde583          Vardas583           5.56
Pavarde585          Vardas585           7.08
Pavarde587          Vardas587           5.36
Pavarde589          Vardas589           6.16
Pavarde590          Vardas590           6.48
Pavarde591          Vardas591           6.40
Pavarde594          Vardas594           6.28
Pavarde595          Vardas595           7.80
Pavarde596          Vardas596           7.44
Pavarde597          Vardas597           5.32
Pavarde601          Vardas601           7.04
Pavarde602          Vardas602           5.68
Pavarde603          Vardas603           5.52
Pavarde605          Vardas605           7.36
Pavarde608          Vardas608           6.16
Pavarde619          Vardas619           6.88
Pavarde621          Vardas621           6.56
Pavarde623          Vardas623           6.24
Pavarde625          Vardas625           6.00
Pavarde626          Vardas626           5.56
Pavarde627          Vardas627           6.96
Pavarde629          Vardas629           7.08
Pavarde630          Vardas630           6.92
Pavarde631          Vardas631           7.60
Pavarde632          Vardas632           7.12
Pavarde633          Vardas633           6.36
Pavarde634          Vardas634           5.76
Pavarde637          Vardas637           8.08
Pavarde638          Vardas638           5.28
Pavarde640          Vardas640           6.72
Pavarde641          Vardas641           6.76
Pavarde642          Vardas642           7.48
Pavarde643          Vardas643           6.08
Pavarde645          Vardas645           6.00
Pavarde647          Vardas647           6.88
Pavarde648          Vardas648           7.28
Pavarde650          Vardas650           6.28
Pavarde651          Vardas651           6.36
Pavarde654          Vardas654           5.48
Pavarde655          Vardas655           8.00
Pavarde659          Vardas659           7.52
Pavarde660          Vardas660           6.80
Pavarde664          Vardas664           8.76
Pavarde665          Vardas665           5.40
Pavarde666          Vardas666           5.24
Pavarde667          Vardas667           6.16
Pavarde670          Vardas670           8.40
Pavarde672          Vardas672           7.12
Pavarde673          Vardas673           6.76
Pavarde674          Vardas674           6.48
Pavarde675          Vardas675           8.96
Pavarde682          Vardas682           5.20
Pavarde683          Vardas683           5.60
Pavarde684          Vardas684           7.48
Pavarde685          Vardas685           7.32
Pavarde686          Vardas686           7.52
Pavarde688          Vardas688           7.16
Pavarde690          Vardas690           6.68
Pavarde691          Vardas691           6.88
Pavarde694          Vardas694           7.28
Pavarde695          Vardas695           6.32
Pavarde696          Vardas696           5.92
Pavarde701          Vardas701           6.20
Pavarde703          Vardas703           7.36
Pavarde704          Vardas704           5.32
Pavarde705          Vardas705           7.00
Pavarde706          Vardas706           6.24
Pavarde709          Vardas709           6.44
Pavarde710          Vardas710           5.88
Pavarde712          Vardas712           7.72
Pavarde714          Vardas714           6.16
Pavarde719          Vardas719           8.80
Pavarde723          Vardas723           7.16
Pavarde725          Vardas725           5.60
Pavarde726          Vardas726           5.96
Pavarde728          Vardas728           6.88
Pavarde730          Vardas730           5.48
Pavarde734          Vardas734           5.72
Pavarde735          Vardas735           7.24
Pavarde736          Vardas736           6.64
Pavarde737          Vardas737           8.12
Pavarde738          Vardas738           7.36
Pavarde739          Vardas739           7.04
Pavarde741          Vardas741           8.16
Pavarde742          Vardas742           7.52
Pavarde743          Vardas743           6.80
Pavarde745          Vardas745           6.88
Pavarde746          Vardas746           7.60
Pavarde748          Vardas748           5.76
Pavarde752          Vardas752           7.24
Pavarde753          Vardas753           5.48
Pavarde754          Vardas754           7.68
Pavarde756          Vardas756           6.36
Pavarde759          Vardas759           5.24
Pavarde760          Vardas760           7.76
Pavarde762          Vardas762           5.72
Pavarde763          Vardas763           5.24
Pavarde764          Vardas764           7.12
Pavarde768          Vardas768           7.92
Pavarde770          Vardas770           6.16
Pavarde771          Vardas771           6.04
Pavarde772          Vardas772           8.84
Pavarde773          Vardas773           7.12
Pavarde775          Vardas775           6.12
Pavarde778          Vardas778           5.92
Pavarde779          Vardas779           6.60
Pavarde784          Vardas784           6.96
Pavarde787          Vardas787           5.28
Pavarde788          Vardas788           7.04
Pavarde789          Vardas789           7.96
Pavarde791          Vardas791           6.76
Pavarde794          Vardas794           8.32
Pavarde796          Vardas796           7.72
Pavarde806          Vardas806           5.36
Pavarde807          Vardas807           8.64
Pavarde811          Vardas811           5.08
Pavarde812          Vardas812           7.92
Pavarde815          Vardas815           6.08
Pavarde818          Vardas818           7.20
Pavarde819          Vardas819           8.24
Pavarde821          Vardas821           8.04
Pavarde824          Vardas824           7.44
Pavarde825          Vardas825           7.52
Pavarde826          Vardas826           5.28
Pavarde827          Vardas827           5.36
Pavarde829          Vardas829           6.68
Pavarde832          Vardas832           7.64
Pavarde833          Vardas833           7.08
Pavarde835          Vardas835           5.88
Pavarde839          Vardas839           6.36
Pavarde841          Vardas841           7.76
Pavarde842          Vardas842           6.28
Pavarde844          Vardas844           5.64
Pavarde845          Vardas845           8.00
Pavarde848          Vardas848           7.40
Pavarde849          Vardas849           5.92
Pavarde851          Vardas851           5.68
Pavarde852          Vardas852           5.80
Pavarde854          Vardas854           5.04
Pavarde855          Vardas855           6.44
Pavarde856          Vardas856           6.60
Pavarde857          Vardas857           5.12
Pavarde862          Vardas862           5.12
Pavarde863          Vardas863           5.92
Pavarde869          Vardas869           7.68
Pavarde871          Vardas871           6.96
Pavarde872          Vardas872           6.16
Pavarde875          Vardas875           5.76
Pavarde878          Vardas878           5.08
Pavarde880          Vardas880           6.76
Pavarde881          Vardas881           5.08
Pavarde882          Vardas882           6.68
Pavarde884          Vardas884           8.40
Pavarde886          Vardas886           5.28
Pavarde889          Vardas889           5.32
Pavarde890          Vardas890           6.44
Pavarde891          Vardas891           5.88
Pavarde893          Vardas893           7.88
Pavarde895          Vardas895           5.56
Pavarde896          Vardas896           5.24
Pavarde897          Vardas897           6.20
Pavarde900          Vardas900           8.88
Pavarde905          Vardas905           8.28
Pavarde906          Vardas906           7.48
Pavarde907          Vardas907           7.40
Pavarde908          Vardas908           7.76
Pavarde909          Vardas909           5.48
Pavarde910          Vardas910           5.96
Pavarde912          Vardas912           6.12
Pavarde913          Vardas913           6.28
Pavarde914          Vardas914           6.00
Pavarde915          Vardas915           5.80
Pavarde918          Vardas918           6.60
Pavarde919          Vardas919           5.80
Pavarde920          Vardas920           6.08
Pavarde927          Vardas927           6.88
Pavarde929          Vardas929           8.24
Pavarde931          Vardas931           6.60
Pavarde932          Vardas932           6.04
Pavarde934          Vardas934           5.24
Pavarde937          Vardas937           6.68
Pavarde938          Vardas938           7.52
Pavarde939          Vardas939           7.04
Pavarde940          Vardas940           8.44
Pavarde944          Vardas944           7.20
Pavarde945          Vardas945           8.80
Pavarde946          Vardas946           6.24
Pavarde947          Vardas947           5.88
Pavarde948          Vardas948           6.52
Pavarde950          Vardas950           7.96
Pavarde952          Vardas952           7.68
Pavarde954          Vardas954           6.08
Pavarde955          Vardas955           5.96
Pavarde956          Vardas956           6.60
Pavarde957          Vardas957           5.64
Pavarde962          Vardas962           6.00
Pavarde964          Vardas964           8.00
Pavarde965          Vardas965           6.04
Pavarde966          Vardas966           5.84
Pavarde968          Vardas968           6.00
Pavarde970          Vardas970           6.20
Pavarde971          Vardas971           5.76
Pavarde972          Vardas972           6.60
Pavarde978          Vardas978           7.56
Pavarde979          Vardas979           6.20
Pavarde986          Vardas986           8.40
Pavarde988          Vardas988           5.64
Pavarde990          Vardas990           7.72
Pavarde992          Vardas992           6.68
Pavarde994          Vardas994           6.20
Pavarde995          Vardas995           8.00
Pavarde998          Vardas998           7.16
Pavarde999          Vardas999           8.40
Pavarde1001         Vardas1001          7.36
Pavarde1002         Vardas1002          6.24
Pavarde1007         Vardas1007          6.72
Pavarde1008         Vardas1008          7.52
Pavarde1011         Vardas1011          6.44
Pavarde1019         Vardas1019          5.48
Pavarde1020         Vardas1020          6.88
Pavarde1026         Vardas1026          6.68
Pavarde1028         Vardas1028          8.80
Pavarde1029         Vardas1029          7.08
Pavarde1030         Vardas1030          8.64
Pavarde1033         Vardas1033          6.88
Pavarde1034         Vardas1034          8.20
Pavarde1041         Vardas1041          7.20
Pavarde1042         Vardas1042          7.60
Pavarde1043         Vardas1043          5.24
Pavarde1044         Vardas1044          7.16
Pavarde1047         Vardas1047          7.56
Pavarde1050         Vardas1050          6.80
Pavarde1051         Vardas1051          6.60
Pavarde1054         Vardas1054          7.64
Pavarde1056         Vardas1056          6.80
Pavarde1057         Vardas1057          5.72
Pavarde1058         Vardas1058          7.36
Pavarde1061         Vardas1061          5.08
Pavarde1064         Vardas1064          7.20
Pavarde1066         Vardas1066          5.92
Pavarde1067         Vardas1067          5.96
Pavarde1068         Vardas1068          8.44
Pavarde1071         Vardas1071          7.04
Pavarde1072         Vardas1072          7.00
Pavarde1074         Vardas1074          8.32
Pavarde1075         Vardas1075          6.28
Pavarde1081         Vardas1081          7.48
Pavarde1083         Vardas1083          7.20
Pavarde1086         Vardas1086          7.32
Pavarde1089         Vardas1089          5.72
Pavarde1090         Vardas1090          6.52
Pavarde1094         Vardas1094          6.36
Pavarde1095         Vardas1095          6.32
Pavarde1096         Vardas1096          6.16
Pavarde1097         Vardas1097          5.76
Pavarde1100         Vardas1100          7.24
Pavarde1105         Vardas1105          6.08
Pavarde1106         Vardas1106          8.64
Pavarde1112         Vardas1112          8.72
Pavarde1114         Vardas1114          9.20
Pavarde1115         Vardas1115          7.04
Pavarde1116         Vardas1116          7.12
Pavarde1117         Vardas1117          8.48
Pavarde1118         Vardas1118          7.36
Pavarde1121         Vardas1121          7.84
Pavarde1122         Vardas1122          6.56
Pavarde1123         Vardas1123          7.28
Pavarde1129         Vardas1129          8.08
Pavarde1132         Vardas1132          7.56
Pavarde1136         Vardas1136          7.56
Pavarde1137         Vardas1137          6.20
Pavarde1140         Vardas1140          8.40
Pavarde1143         Vardas1143          8.40
Pavarde1145         Vardas1145          8.04
Pavarde1147         Vardas1147          5.28
Pavarde1148         Vardas1148          5.84
Pavarde1150         Vardas1150          6.92
Pavarde1154         Vardas1154          6.84
Pavarde1155         Vardas1155          8.56
Pavarde1159         Vardas1159          5.76
Pavarde1160         Vardas1160          8.68
Pavarde1161         Vardas1161          8.00
Pavarde1162         Vardas1162          8.08
Pavarde1163         Vardas1163          7.60
Pavarde1164         Vardas1164          7.20
Pavarde1165         Vardas1165          7.08
Pavarde1167         Vardas1167          8.56
Pavarde1168         Vardas1168          5.12
Pavarde1171         Vardas1171          5.08
Pavarde1172         Vardas1172          6.64
Pavarde1173         Vardas1173          6.12
Pavarde1174         Vardas1174          5.28
Pavarde1175         Vardas1175          5.16
Pavarde1176         Vardas1176          5.56
Pavarde1178         Vardas1178          5.68
Pavarde1180         Vardas1180          5.64
Pavarde1182         Vardas1182          7.88
Pavarde1183         Vardas1183          8.12
Pavarde1186         Vardas1186          8.24
Pavarde1187         Vardas1187          6.52
Pavarde1192         Vardas1192          6.12
Pavarde1196         Vardas1196          7.72
Pavarde1197         Vardas1197          9.20
Pavarde1198         Vardas1198          6.76
Pavarde1202         Vardas1202          6.24
Pavarde1207         Vardas1207          7.20
Pavarde1208         Vardas1208          7.20
Pavarde1210         Vardas1210          6.52
Pavarde1211         Vardas1211          6.88
Pavarde1212         Vardas1212          6.12
Pavarde1213         Vardas1213          8.32
Pavarde1216         Vardas1216          6.36
Pavarde1217         Vardas1217          7.36
Pavarde1220         Vardas1220          5.52
Pavarde1221         Vardas1221          5.44
Pavarde1222         Vardas1222          5.16
Pavarde1223         Vardas1223          8.40
Pavarde1226         Vardas1226          6.52
Pavarde1229         Vardas1229          5.84
Pavarde1231         Vardas1231          6.08
Pavarde1232         Vardas1232          6.56
Pavarde1234         Vardas1234          7.28
Pavarde1235         Vardas1235          7.24
Pavarde1239         Vardas1239          6.56
Pavarde1240         Vardas1240          5.88
Pavarde1241         Vardas1241          5.12
Pavarde1243         Vardas1243          7.52
Pavarde1245         Vardas1245          5.48
Pavarde1246         Vardas1246          7.36
Pavarde1248         Vardas1248          7.92
Pavarde1250         Vardas1250          6.96
Pavarde1251         Vardas1251          6.92
Pavarde1253         Vardas1253          5.76
Pavarde1261         Vardas1261          7.28
Pavarde1264         Vardas1264          6.64
Pavarde1269         Vardas1269          7.24
Pavarde1270         Vardas1270          7.36
Pavarde1271         Vardas1271          5.08
Pavarde1272         Vardas1272          7.12
Pavarde1274         Vardas1274          7.48
Pavarde1275         Vardas1275          7.16
Pavarde1276         Vardas1276          5.24
Pavarde1278         Vardas1278          7.64
Pavarde1280         Vardas1280          6.00
Pavarde1282         Vardas1282          5.16
Pavarde1286         Vardas1286          7.40
Pavarde1288         Vardas1288          7.68
Pavarde1290         Vardas1290          5.68
Pavarde1291         Vardas1291          7.52
Pavarde1294         Vardas1294          5.12
Pavarde1296         Vardas1296          6.60
Pavarde1298         Vardas1298          6.88
Pavarde1299         Vardas1299          5.32
Pavarde1301         Vardas1301          7.12
Pavarde1302         Vardas1302          6.80
Pavarde1303         Vardas1303          6.76
Pavarde1304         Vardas1304          7.00
Pavarde1306         Vardas1306          7.44
Pavarde1309         Vardas1309          7.16
Pavarde1313         Vardas1313          6.36
Pavarde1314         Vardas1314          5.24
Pavarde1315         Vardas1315          8.08
Pavarde1316         Vardas1316          7.88
Pavarde1318         Vardas1318          8.16
Pavarde1319         Vardas1319          5.24
Pavarde1320         Vardas1320          6.48
Pavarde1321         Vardas1321          8.32
Pavarde1323         Vardas1323          5.80
Pavarde1330         Vardas1330          6.64
Pavarde1335         Vardas1335          8.00
Pavarde1338         Vardas1338          6.56
Pavarde1339         Vardas1339          5.88
Pavarde1340         Vardas1340          5.32
Pavarde1343         Vardas1343          5.24
Pavarde1348         Vardas1348          7.72
Pavarde1350         Vardas1350          5.04
Pavarde1351         Vardas1351          5.64
Pavarde1353         Vardas1353          5.96
Pavarde1356         Vardas1356          7.20
Pavarde1357         Vardas1357          7.28
Pavarde1360         Vardas1360          7.68
Pavarde1361         Vardas1361          6.76
Pavarde1365         Vardas1365          5.12
Pavarde1367         Vardas1367          5.40
Pavarde1374         Vardas1374          7.68
Pavarde1377         Vardas1377          8.00
Pavarde1380         Vardas1380          7.72
Pavarde1381         Vardas1381          7.72
Pavarde1385         Vardas1385          6.40
Pavarde1387         Vardas1387          7.76
Pavarde1389         Vardas1389          8.12
Pavarde1390         Vardas1390          6.08
Pavarde1393         Vardas1393          5.28
Pavarde1394         Vardas1394          6.24
Pavarde1396         Vardas1396          6.52
Pavarde1399         Vardas1399          6.44
Pavarde1400         Vardas1400          7.16
Pavarde1401         Vardas1401          5.04
Pavarde1402         Vardas1402          6.60
Pavarde1409         Vardas1409          7.56
Pavarde1411         Vardas1411          6.56
Pavarde1412         Vardas1412          5.84
Pavarde1415         Vardas1415          7.12
Pavarde1416         Vardas1416          5.76
Pavarde1417         Vardas1417          5.56
Pavarde1418         Vardas1418          5.76
Pavarde1419         Vardas1419          5.68
Pavarde1420         Vardas1420          5.36
Pavarde1423         Vardas1423          7.52
Pavarde1424         Vardas1424          5.20
Pavarde1425         Vardas1425          5.48
Pavarde1426         Vardas1426          7.12
Pavarde1427         Vardas1427          7.32
Pavarde1429         Vardas1429          6.00
Pavarde1431         Vardas1431          6.68
Pavarde1432         Vardas1432          6.08
Pavarde1433         Vardas1433          7.04
Pavarde1435         Vardas1435          7.20
Pavarde1436         Vardas1436          6.00
Pavarde1437         Vardas1437          8.64
Pavarde1439         Vardas1439          7.84
Pavarde1441         Vardas1441          7.00
Pavarde1442         Vardas1442          7.64
Pavarde1448         Vardas1448          6.28
Pavarde1449         Vardas1449          7.36
Pavarde1450         Vardas1450          5.16
Pavarde1451         Vardas1451          7.64
Pavarde1453         Vardas1453          5.24
Pavarde1454         Vardas1454          7.72
Pavarde1455         Vardas1455          7.36
Pavarde1457         Vardas1457          5.88
Pavarde1458         Vardas1458          7.04
Pavarde1460         Vardas1460          6.80
Pavarde1461         Vardas1461          5.88
Pavarde1466         Vardas1466          5.08
Pavarde1470         Vardas1470          5.20
Pavarde1474         Vardas1474          7.88
Pavarde1476         Vardas1476          6.68
Pavarde1478         Vardas1478          8.80
Pavarde1479         Vardas1479          6.68
Pavarde1481         Vardas1481          5.20
Pavarde1482         Vardas1482          6.52
Pavarde1484         Vardas1484          7.24
Pavarde1486         Vardas1486          6.72
Pavarde1491         Vardas1491          7.68
Pavarde1493         Vardas1493          8.00
Pavarde1494         Vardas1494          7.52
Pavarde1495         Vardas1495          8.96
Pavarde1496         Vardas1496          6.88
Pavarde1497         Vardas1497          5.68
Pavarde1498         Vardas1498          5.88
Pavarde1499         Vardas1499          7.60
Pavarde1501         Vardas1501          6.00
Pavarde1502         Vardas1502          8.16
Pavarde1505         Vardas1505          5.20
Pavarde1506         Vardas1506          5.76
Pavarde1507         Vardas1507          6.04
Pavarde1510         Vardas1510          6.64
Pavarde1511         Vardas1511          6.84
Pavarde1512         Vardas1512          6.20
Pavarde1514         Vardas1514          7.40
Pavarde1515         Vardas1515          5.92
Pavarde1519         Vardas1519          6.76
Pavarde1520         Vardas1520          5.88
Pavarde1522         Vardas1522          5.44
Pavarde1526         Vardas1526          6.60
Pavarde1527         Vardas1527          6.40
Pavarde1529         Vardas1529          7.12
Pavarde1531         Vardas1531          6.92
Pavarde1533         Vardas1533          6.32
Pavarde1534         Vardas1534          7.44
Pavarde1535         Vardas1535          7.56
Pavarde1536         Vardas1536          6.60
Pavarde1538         Vardas1538          6.20
Pavarde1540         Vardas1540          5.56
Pavarde1541         Vardas1541          8.24
Pavarde1543         Vardas1543          5.76
Pavarde1550         Vardas1550          5.72
Pavarde1551         Vardas1551          8.08
Pavarde1552         Vardas1552          8.00
Pavarde1553         Vardas1553          6.16
Pavarde1554         Vardas1554          7.64
Pavarde1555         Vardas1555          5.16
Pavarde1556         Vardas1556          6.56
Pavarde1557         Vardas1557          7.52
Pavarde1559         Vardas1559          5.96
Pavarde1560         Vardas1560          5.84
Pavarde1567         Vardas1567          6.28
Pavarde1569         Vardas1569          6.40
Pavarde1570         Vardas1570          5.80
Pavarde1572         Vardas1572          7.68
Pavarde1575         Vardas1575          8.16
Pavarde1576         Vardas1576          6.24
Pavarde1577         Vardas1577          6.56
Pavarde1579         Vardas1579          7.40
Pavarde1580         Vardas1580          7.28
Pavarde1583         Vardas1583          7.36
Pavarde1585         Vardas1585          7.12
Pavarde1587         Vardas1587          5.20
Pavarde1589         Vardas1589          7.08
Pavarde1590         Vardas1590          8.44
Pavarde1591         Vardas1591          6.08
Pavarde1594         Vardas1594          5.56
Pavarde1596         Vardas1596          8.88
Pavarde1597         Vardas1597          6.24
Pavarde1598         Vardas1598          7.44
Pavarde1605         Vardas1605          8.48
Pavarde1606         Vardas1606          5.68
Pavarde1608         Vardas1608          5.56
Pavarde1610         Vardas1610          5.16
Pavarde1613         Vardas1613          5.72
Pavarde1614         Vardas1614          6.32
Pavarde1619         Vardas1619          6.04
