Pavarde             Vardas              Galutinis
Pavarde149          Vardas149           3.28
Pavarde150          Vardas150           3.88
Pavarde151          Vardas151           4.44
Pavarde153          Vardas153           2.92
Pavarde156          Vardas156           2.96
Pavarde157          Vardas157           2.00
Pavarde159          Vardas159           4.12
Pavarde160          Vardas160           4.20
Pavarde165          Vardas165           2.32
Pavarde168          Vardas168           1.92
Pavarde169          Vardas169           3.92
Pavarde170          Vardas170           2.52
Pavarde172          Vardas172           4.44
Pavarde173          Vardas173           3.52
Pavarde176          Vardas176           3.08
Pavarde179          Vardas179           2.64
Pavarde181          Vardas181           2.80
Pavarde182          Vardas182           2.48
Pavarde184          Vardas184           3.24
Pavarde185          Vardas185           3.76
Pavarde186          Vardas186           2.24
Pavarde187          Vardas187           2.16
Pavarde188          Vardas188           3.40
Pavarde190          Vardas190           3.64
Pavarde192          Vardas192           2.44
Pavarde194          Vardas194           4.68
Pavarde197          Vardas197           1.40
Pavarde198          Vardas198           3.76
Pavarde206          Vardas206           3.16
Pavarde207          Vardas207           3.20
Pavarde208          Vardas208           3.36
Pavarde222          Vardas222           4.32
Pavarde223          Vardas223           4.88
Pavarde224          Vardas224           3.52
Pavarde226          Vardas226           4.96
Pavarde232          Vardas232           4.68
Pavarde233          Vardas233           4.84
Pavarde234          Vardas234           3.64
Pavarde245          Vardas245           3.00
Pavarde246          Vardas246           3.20
Pavarde248          Vardas248           3.96
Pavarde249          Vardas249           1.20
Pavarde250          Vardas250           3.48
Pavarde251          Vardas251           2.64
Pavarde252          Vardas252           4.28
Pavarde253          Vardas253           2.56
Pavarde254          Vardas254           3.32
Pavarde256          Vardas256           3.92
Pavarde257          Vardas257           2.88
Pavarde259          Vardas259           3.88
Pavarde260          Vardas260           2.20
Pavarde262          Vardas262           1.92
Pavarde263          Vardas263           2.64
Pavarde264          Vardas264           2.08
Pavarde265          Vardas265           2.76
Pavarde267          Vardas267           5.00
Pavarde268          Vardas268           4.44
Pavarde269          Vardas269           2.72
Pavarde270          Vardas270           3.20
Pavarde274          Vardas274           4.40
Pavarde275          Vardas275           3.32
Pavarde276          Vardas276           4.36
Pavarde277          Vardas277           3.44
Pavarde278          Vardas278           3.84
Pavarde279          Vardas279           4.04
Pavarde281          Vardas281           4.84
Pavarde283          Vardas283           3.08
Pavarde284          Vardas284           2.64
Pavarde285          Vardas285           4.56
Pavarde287          Vardas287           4.68
Pavarde289          Vardas289           1.04
Pavarde290          Vardas290           4.08
Pavarde292          Vardas292           4.40
Pavarde294          Vardas294           3.72
Pavarde297          Vardas297           2.48
Pavarde298          Vardas298           1.84
Pavarde300          Vardas300           4.16
Pavarde301          Vardas301           4.32
Pavarde303          Vardas303           4.88
Pavarde305          Vardas305           3.76
Pavarde307          Vardas307           1.92
Pavarde309          Vardas309           3.84
Pavarde310          Vardas310           2.64
Pavarde312          Vardas312           4.20
Pavarde313          Vardas313           2.88
Pavarde315          Vardas315           1.52
Pavarde316          Vardas316           3.00
Pavarde317          Vardas317           2.32
Pavarde318          Vardas318           2.96
Pavarde319          Vardas319           4.60
Pavarde322          Vardas322           3.08
Pavarde323          Vardas323           3.32
Pavarde324          Vardas324           4.76
Pavarde325          Vardas325           2.56
Pavarde327          Vardas327           2.40
Pavarde329          Vardas329           3.56
Pavarde331          Vardas331           4.84
Pavarde332          Vardas332           3.60
Pavarde334          Vardas334           2.28
Pavarde337          Vardas337           4.52
Pavarde341          Vardas341           1.76
Pavarde342          Vardas342           4.24
Pavarde343          Vardas343           4.44
Pavarde345          Vardas345           1.60
Pavarde346          Vardas346           2.12
Pavarde348          Vardas348           4.08
Pavarde350          Vardas350           3.04
Pavarde353          Vardas353           2.64
Pavarde354          Vardas354           4.40
Pavarde355          Vardas355           3.08
Pavarde356          Vardas356           3.40
Pavarde357          Vardas357           2.60
Pavarde358          Vardas358           2.60
Pavarde359          Vardas359           4.44
Pavarde363          Vardas363           1.96
Pavarde364          Vardas364           4.12
Pavarde365          Vardas365           4.04
Pavarde366          Vardas366           4.28
Pavarde367          Vardas367           4.76
Pavarde369          Vardas369           4.88
Pavarde370          Vardas370           3.88
Pavarde372          Vardas372           3.36
Pavarde375          Vardas375           2.48
Pavarde376          Vardas376           3.20
Pavarde378          Vardas378           2.84
Pavarde379          Vardas379           2.32
Pavarde382          Vardas382           1.84
Pavarde386          Vardas386           4.20
Pavarde387          Vardas387           1.28
Pavarde390          Vardas390           3.56
Pavarde391          Vardas391           2.08
Pavarde392          Vardas392           1.92
Pavarde394          Vardas394           3.72
Pavarde398          Vardas398           4.16
Pavarde401          Vardas401           2.08
Pavarde402          Vardas402           3.52
Pavarde403          Vardas403           1.88
Pavarde407          Vardas407           3.08
Pavarde409          Vardas409           3.48
Pavarde413          Vardas413           2.68
Pavarde414          Vardas414           3.92
Pavarde416          Vardas416           3.60
Pavarde417          Vardas417           3.76
Pavarde418          Vardas418           2.80
Pavarde420          Vardas420           3.76
Pavarde421          Vardas421           4.32
Pavarde422          Vardas422           2.20
Pavarde423          Vardas423           3.60
Pavarde425          Vardas425           2.12
Pavarde426          Vardas426           3.20
Pavarde428          Vardas428           4.28
Pavarde429          Vardas429           4.56
Pavarde430          Vardas430           2.16
Pavarde433          Vardas433           3.76
Pavarde437          Vardas437           4.36
Pavarde438          Vardas438           3.32
Pavarde439          Vardas439           4.52
Pavarde440          Vardas440           2.48
Pavarde441          Vardas441           2.44
Pavarde442          Vardas442           3.40
Pavarde445          Vardas445           2.04
Pavarde446          Vardas446           4.76
Pavarde447          Vardas447           2.08
Pavarde448          Vardas448           3.40
Pavarde450          Vardas450           2.48
Pavarde453          Vardas453           2.76
Pavarde454          Vardas454           4.72
Pavarde455          Vardas455           3.08
Pavarde456          Vardas456           1.12
Pavarde457          Vardas457           4.68
Pavarde458          Vardas458           2.96
Pavarde461          Vardas461           4.48
Pavarde463          Vardas463           2.88
Pavarde466          Vardas466           2.44
Pavarde468          Vardas468           4.44
Pavarde470          Vardas470           3.52
Pavarde471          Vardas471           3.52
Pavarde472          Vardas472           4.20
Pavarde475          Vardas475           4.52
Pavarde476          Vardas476           4.04
Pavarde477          Vardas477           4.28
Pavarde478          Vardas478           3.52
Pavarde481          Vardas481           2.68
Pavarde483          Vardas483           2.84
Pavarde485          Vardas485           3.84
Pavarde488          Vardas488           2.88
Pavarde489          Vardas489           0.72
Pavarde490          Vardas490           4.96
Pavarde492          Vardas492           4.80
Pavarde497          Vardas497           2.60
Pavarde498          Vardas498           2.80
Pavarde499          Vardas499           3.88
Pavarde500          Vardas500           2.24
Pavarde503          Vardas503           2.52
Pavarde507          Vardas507           4.12
Pavarde508          Vardas508           3.12
Pavarde509          Vardas509           4.44
Pavarde510          Vardas510           3.24
Pavarde512          Vardas512           2.68
Pavarde513          Vardas513           3.16
Pavarde520          Vardas520           3.12
Pavarde522          Vardas522           0.76
Pavarde524          Vardas524           3.84
Pavarde527          Vardas527           3.48
Pavarde531          Vardas531           4.52
Pavarde533          Vardas533           3.52
Pavarde536          Vardas536           2.08
Pavarde537          Vardas537           2.84
Pavarde538          Vardas538           2.52
Pavarde540          Vardas540           2.92
Pavarde544          Vardas544           2.28
Pavarde545          Vardas545           3.56
Pavarde546          Vardas546           1.12
Pavarde550          Vardas550           3.28
Pavarde551          Vardas551           3.72
Pavarde553          Vardas553           3.44
Pavarde554          Vardas554           3.96
Pavarde555          Vardas555           4.76
Pavarde556          Vardas556           2.48
Pavarde557          Vardas557           4.56
Pavarde560          Vardas560           4.40
Pavarde562          Vardas562           4.32
Pavarde563          Vardas563           2.24
Pavarde565          Vardas565           2.52
Pavarde566          Vardas566           4.12
Pavarde570          Vardas570           2.72
Pavarde574          Vardas574           2.44
Pavarde575          Vardas575           3.08
Pavarde577          Vardas577           2.64
Pavarde578          Vardas578           4.60
Pavarde580          Vardas580           3.20
Pavarde582          Vardas582           4.16
Pavarde584          Vardas584           3.60
Pavarde586          Vardas586           2.00
Pavarde588          Vardas588           3.64
Pavarde592          Vardas592           2.24
Pavarde593          Vardas593           3.48
Pavarde598          Vardas598           3.40
Pavarde599          Vardas599           4.48
Pavarde600          Vardas600           2.80
Pavarde604          Vardas604           4.40
Pavarde606          Vardas606           4.00
Pavarde607          Vardas607           2.36
Pavarde609          Vardas609           3.28
Pavarde610          Vardas610           4.12
Pavarde611          Vardas611           3.32
Pavarde612          Vardas612           1.36
Pavarde613          Vardas613           4.32
Pavarde614          Vardas614           3.04
Pavarde615          Vardas615           2.72
Pavarde616          Vardas616           2.44
Pavarde617          Vardas617           4.08
Pavarde618          Vardas618           3.12
Pavarde620          Vardas620           4.68
Pavarde622          Vardas622           4.60
Pavarde624          Vardas624           4.84
Pavarde628          Vardas628           1.60
Pavarde635          Vardas635           3.04
Pavarde636          Vardas636           4.92
Pavarde639          Vardas639           4.40
Pavarde644          Vardas644           2.76
Pavarde646          Vardas646           3.68
Pavarde649          Vardas649           4.84
Pavarde652          Vardas652           3.00
Pavarde653          Vardas653           2.40
Pavarde656          Vardas656           3.20
Pavarde657          Vardas657           4.28
Pavarde658          Vardas658           3.36
Pavarde661          Vardas661           4.52
Pavarde662          Vardas662           3.48
Pavarde663          Vardas663           2.48
Pavarde668          Vardas668           4.12
Pavarde669          Vardas669           2.52
Pavarde671          Vardas671           4.40
Pavarde676          Vardas676           3.48
Pavarde677          Vardas677           2.36
Pavarde678          Vardas678           2.48
Pavarde679          Vardas679           2.44
Pavarde680          Vardas680           2.16
Pavarde681          Vardas681           4.04
Pavarde687          Vardas687           4.20
Pavarde689          Vardas689           2.28
Pavarde692          Vardas692           1.44
Pavarde693          Vardas693           2.04
Pavarde697          Vardas697           2.52
Pavarde698          Vardas698           3.12
Pavarde699          Vardas699           4.72
Pavarde700          Vardas700           4.60
Pavarde702          Vardas702           2.92
Pavarde707          Vardas707           3.48
Pavarde708          Vardas708           4.96
Pavarde711          Vardas711           2.40
Pavarde713          Vardas713           4.20
Pavarde715          Vardas715           1.88
Pavarde716          Vardas716           4.48
Pavarde717          Vardas717           4.48
Pavarde718          Vardas718           2.96
Pavarde720          Vardas720           2.52
Pavarde721          Vardas721           4.88
Pavarde722          Vardas722           2.80
Pavarde724          Vardas724           3.92
Pavarde727          Vardas727           1.76
Pavarde729          Vardas729           3.08
Pavarde731          Vardas731           2.28
Pavarde732          Vardas732           3.80
Pavarde733          Vardas733           2.80
Pavarde740          Vardas740           2.08
Pavarde744          Vardas744           3.28
Pavarde747          Vardas747           1.92
Pavarde749          Vardas749           3.16
Pavarde750          Vardas750           2.16
Pavarde751          Vardas751           3.12
Pavarde755          Vardas755           3.60
Pavarde757          Vardas757           3.48
Pavarde758          Vardas758           4.20
Pavarde761          Vardas761           2.40
Pavarde765          Vardas765           2.08
Pavarde766          Vardas766           3.92
Pavarde767          Vardas767           2.48
Pavarde769          Vardas769           3.80
Pavarde774          Vardas774           2.68
Pavarde776          Vardas776           2.80
Pavarde777          Vardas777           3.88
Pavarde780          Vardas780           3.28
Pavarde781          Vardas781           3.32
Pavarde782          Vardas782           1.28
Pavarde783          Vardas783           3.48
Pavarde785          Vardas785           2.92
Pavarde786          Vardas786           4.60
Pavarde790          Vardas790           2.64
Pavarde792          Vardas792           3.84
Pavarde793          Vardas793           1.80
Pavarde795          Vardas795           1.44
Pavarde797          Vardas797           2.80
Pavarde798          Vardas798           3.56
Pavarde799          Vardas799           1.68
Pavarde800          Vardas800           2.88
Pavarde801          Vardas801           3.16
Pavarde802          Vardas802           2.60
Pavarde803          Vardas803           2.44
Pavarde804          Vardas804           2.24
Pavarde805          Vardas805           2.84
Pavarde808          Vardas808           3.88
Pavarde809          Vardas809           2.48
Pavarde810          Vardas810           3.60
Pavarde813          Vardas813           4.48
Pavarde814          Vardas814           3.28
Pavarde816          Vardas816           1.92
Pavarde817          Vardas817           4.88
Pavarde820          Vardas820           1.92
Pavarde822          Vardas822           4.72
Pavarde823          Vardas823           1.20
Pavarde828          Vardas828           2.48
Pavarde830          Vardas830           2.04
Pavarde831          Vardas831           2.32
Pavarde834          Vardas834           3.56
Pavarde836          Vardas836           2.48
Pavarde837          Vardas837           3.12
Pavarde838          Vardas838           2.12
Pavarde840          Vardas840           2.68
Pavarde843          Vardas843           3.64
Pavarde846          Vardas846           2.32
Pavarde847          Vardas847           4.84
Pavarde850          Vardas850           3.44
Pavarde853          Vardas853           3.68
Pavarde858          Vardas858           3.48
Pavarde859          Vardas859           3.56
Pavarde860          Vardas860           2.72
Pavarde861          Vardas861           4.36
Pavarde864          Vardas864           2.40
Pavarde865          Vardas865           1.68
Pavarde866          Vardas866           4.96
Pavarde867          Vardas867           2.88
Pavarde868          Vardas868           3.60
Pavarde870          Vardas870           4.00
Pavarde873          Vardas873           3.76
Pavarde874          Vardas874           1.52
Pavarde876          Vardas876           3.88
Pavarde877          Vardas877           4.92
Pavarde879          Vardas879           3.32
Pavarde883          Vardas883           2.08
Pavarde885          Vardas885           4.60
Pavarde887          Vardas887           3.68
Pavarde888          Vardas888           2.84
Pavarde892          Vardas892           2.28
Pavarde894          Vardas894           1.96
Pavarde898          Vardas898           3.32
Pavarde899          Vardas899           3.64
Pavarde901          Vardas901           2.92
Pavarde902          Vardas902           2.76
Pavarde903          Vardas903           3.80
Pavarde904          Vardas904           1.60
Pavarde911          Vardas911           4.52
Pavarde916          Vardas916           3.40
Pavarde917          Vardas917           3.68
Pavarde921          Vardas921           4.84
Pavarde922          Vardas922           4.48
Pavarde923          Vardas923           2.68
Pavarde924          Vardas924           4.80
Pavarde925          Vardas925           2.80
Pavarde926          Vardas926           4.04
Pavarde928          Vardas928           3.76
Pavarde930          Vardas930           4.52
Pavarde933          Vardas933           4.44
Pavarde935          Vardas935           3.84
Pavarde936          Vardas936           3.56
Pavarde941          Vardas941           2.40
Pavarde942          Vardas942           3.48
Pavarde943          Vardas943           4.00
Pavarde949          Vardas949           3.64
Pavarde951          Vardas951           1.44
Pavarde953          Vardas953           1.08
Pavarde958          Vardas958           3.28
Pavarde959          Vardas959           1.12
Pavarde960          Vardas960           2.80
Pavarde961          Vardas961           3.24
Pavarde963          Vardas963           4.40
Pavarde967          Vardas967           3.60
Pavarde969          Vardas969           2.92
Pavarde973          Vardas973           3.40
Pavarde974          Vardas974           3.28
Pavarde975          Vardas975           4.52
Pavarde976          Vardas976           4.76
Pavarde977          Vardas977           4.84
Pavarde980          Vardas980           3.80
Pavarde981          Vardas981           4.64
Pavarde982          Vardas982           2.96
Pavarde983          Vardas983           2.44
Pavarde984          Vardas984           2.88
Pavarde985          Vardas985           4.12
Pavarde987          Vardas987           1.36
Pavarde989          Vardas989           3.44
Pavarde991          Vardas991           3.52
Pavarde993          Vardas993           4.60
Pavarde996          Vardas996           3.04
Pavarde997          Vardas997           3.40
Pavarde1000         Vardas1000          3.04
Pavarde1003         Vardas1003          3.28
Pavarde1004         Vardas1004          3.60
Pavarde1005         Vardas1005          2.80
Pavarde1006         Vardas1006          2.88
Pavarde1009         Vardas1009          4.76
Pavarde1010         Vardas1010          3.72
Pavarde1012         Vardas1012          4.44
Pavarde1013         Vardas1013          4.52
Pavarde1014         Vardas1014          1.92
Pavarde1015         Vardas1015          1.92
Pavarde1016         Vardas1016          4.12
Pavarde1017         Vardas1017          3.72
Pavarde1018         Vardas1018          2.96
Pavarde1021         Vardas1021          3.72
Pavarde1022         Vardas1022          3.92
Pavarde1023         Vardas1023          4.20
Pavarde1024         Vardas1024          3.80
Pavarde1025         Vardas1025          3.20
Pavarde1027         Vardas1027          2.48
Pavarde1031         Vardas1031          2.20
Pavarde1032         Vardas1032          1.92
Pavarde1035         Vardas1035          1.76
Pavarde1036         Vardas1036          1.68
Pavarde1037         Vardas1037          4.76
Pavarde1038         Vardas1038          1.44
Pavarde1039         Vardas1039          4.80
Pavarde1040         Vardas1040          2.56
Pavarde1045         Vardas1045          2.68
Pavarde1046         Vardas1046          2.96
Pavarde1048         Vardas1048          1.52
Pavarde1049         Vardas1049          2.88
Pavarde1052         Vardas1052          2.28
Pavarde1053         Vardas1053          4.92
Pavarde1055         Vardas1055          2.16
Pavarde1059         Vardas1059          3.76
Pavarde1060         Vardas1060          1.84
Pavarde1062         Vardas1062          2.32
Pavarde1063         Vardas1063          4.84
Pavarde1065         Vardas1065          4.88
Pavarde1069         Vardas1069          2.72
Pavarde1070         Vardas1070          4.64
Pavarde1073         Vardas1073          1.60
Pavarde1076         Vardas1076          4.44
Pavarde1077         Vardas1077          4.68
Pavarde1078         Vardas1078          3.60
Pavarde1079         Vardas1079          3.36
Pavarde1080         Vardas1080          4.16
Pavarde1082         Vardas1082          1.84
Pavarde1084         Vardas1084          4.44
Pavarde1085         Vardas1085          4.04
Pavarde1087         Vardas1087          3.56
Pavarde1088         Vardas1088          4.12
Pavarde1091         Vardas1091          3.44
Pavarde1092         Vardas1092          2.84
Pavarde1093         Vardas1093          4.60
Pavarde1098         Vardas1098          4.20
Pavarde1099         Vardas1099          2.96
Pavarde1101         Vardas1101          1.44
Pavarde1102         Vardas1102          2.08
Pavarde1103         Vardas1103          3.04
Pavarde1104         Vardas1104          1.92
Pavarde1107         Vardas1107          2.52
Pavarde1108         Vardas1108          4.24
Pavarde1109         Vardas1109          4.28
Pavarde1110         Vardas1110          3.68
Pavarde1111         Vardas1111          0.56
Pavarde1113         Vardas1113          3.24
Pavarde1119         Vardas1119          2.92
Pavarde1120         Vardas1120          3.48
Pavarde1124         Vardas1124          4.84
Pavarde1125         Vardas1125          3.04
Pavarde1126         Vardas1126          4.40
Pavarde1127         Vardas1127          4.48
Pavarde1128         Vardas1128          3.96
Pavarde1130         Vardas1130          4.04
Pavarde1131         Vardas1131          4.12
Pavarde1133         Vardas1133          3.32
Pavarde1134         Vardas1134          4.40
Pavarde1135         Vardas1135          3.28
Pavarde1138         Vardas1138          3.08
Pavarde1139         Vardas1139          4.00
Pavarde1141         Vardas1141          3.92
Pavarde1142         Vardas1142          2.36
Pavarde1144         Vardas1144          2.96
Pavarde1146         Vardas1146          2.60
Pavarde1149         Vardas1149          3.36
Pavarde1151         Vardas1151          4.48
Pavarde1152         Vardas1152          3.40
Pavarde1153         Vardas1153          1.36
Pavarde1156         Vardas1156          3.96
Pavarde1157         Vardas1157          5.00
Pavarde1158         Vardas1158          4.32
Pavarde1166         Vardas1166          3.00
Pavarde1169         Vardas1169          3.40
Pavarde1170         Vardas1170          2.60
Pavarde1177         Vardas1177          4.72
Pavarde1179         Vardas1179          4.00
Pavarde1181         Vardas1181          2.72
Pavarde1184         Vardas1184          3.80
Pavarde1185         Vardas1185          3.52
Pavarde1188         Vardas1188          1.60
Pavarde1189         Vardas1189          2.64
Pavarde1190         Vardas1190          4.92
Pavarde1191         Vardas1191          4.12
Pavarde1193         Vardas1193          1.88
Pavarde1194         Vardas1194          2.64
Pavarde1195         Vardas1195          3.80
Pavarde1199         Vardas1199          3.36
Pavarde1200         Vardas1200          4.88
Pavarde1201         Vardas1201          3.44
Pavarde1203         Vardas1203          3.92
Pavarde1204         Vardas1204          3.12
Pavarde1205         Vardas1205          2.80
Pavarde1206         Vardas1206          3.72
Pavarde1209         Vardas1209          2.68
Pavarde1214         Vardas1214          1.28
Pavarde1215         Vardas1215          4.84
Pavarde1218         Vardas1218          3.68
Pavarde1219         Vardas1219          4.68
Pavarde1224         Vardas1224          2.28
Pavarde1225         Vardas1225          2.32
Pavarde1227         Vardas1227          3.80
Pavarde1228         Vardas1228          4.76
Pavarde1230         Vardas1230          3.52
Pavarde1233         Vardas1233          2.60
Pavarde1236         Vardas1236          2.68
Pavarde1237         Vardas1237          3.68
Pavarde1238         Vardas1238          2.76
Pavarde1242         Vardas1242          4.52
Pavarde1244         Vardas1244          4.12
Pavarde1247         Vardas1247          2.72
Pavarde1249         Vardas1249          4.72
Pavarde1252         Vardas1252          3.16
Pavarde1254         Vardas1254          2.88
Pavarde1255         Vardas1255          3.36
Pavarde1256         Vardas1256          4.72
Pavarde1257         Vardas1257          3.16
Pavarde1258         Vardas1258          1.52
Pavarde1259         Vardas1259          3.84
Pavarde1260         Vardas1260          3.56
Pavarde1262         Vardas1262          3.36
Pavarde1263         Vardas1263          2.12
Pavarde1265         Vardas1265          2.52
Pavarde1266         Vardas1266          3.52
Pavarde1267         Vardas1267          5.00
Pavarde1268         Vardas1268          3.28
Pavarde1273         Vardas1273          4.00
Pavarde1277         Vardas1277          2.44
Pavarde1279         Vardas1279          3.88
Pavarde1281         Vardas1281          4.56
Pavarde1283         Vardas1283          1.36
Pavarde1284         Vardas1284          3.72
Pavarde1285         Vardas1285          4.04
Pavarde1287         Vardas1287          1.56
Pavarde1289         Vardas1289          1.12
Pavarde1292         Vardas1292          3.72
Pavarde1293         Vardas1293          2.48
Pavarde1295         Vardas1295          4.68
Pavarde1297         Vardas1297          2.88
Pavarde1300         Vardas1300          4.92
Pavarde1305         Vardas1305          2.16
Pavarde1307         Vardas1307          2.24
Pavarde1308         Vardas1308          4.36
Pavarde1310         Vardas1310          4.84
Pavarde1311         Vardas1311          1.76
Pavarde1312         Vardas1312          3.56
Pavarde1317         Vardas1317          2.44
Pavarde1322         Vardas1322          4.80
Pavarde1324         Vardas1324          4.64
Pavarde1325         Vardas1325          3.60
Pavarde1326         Vardas1326          2.08
Pavarde1327         Vardas1327          2.64
Pavarde1328         Vardas1328          2.64
Pavarde1329         Vardas1329          2.76
Pavarde1331         Vardas1331          4.88
Pavarde1332         Vardas1332          2.64
Pavarde1333         Vardas1333          4.56
Pavarde1334         Vardas1334          2.72
Pavarde1336         Vardas1336          4.84
Pavarde1337         Vardas1337          3.72
Pavarde1341         Vardas1341          2.32
Pavarde1342         Vardas1342          3.28
Pavarde1344         Vardas1344          1.84
Pavarde1345         Vardas1345          2.56
Pavarde1346         Vardas1346          4.08
Pavarde1347         Vardas1347          2.96
Pavarde1349         Vardas1349          2.56
Pavarde1352         Vardas1352          2.84
Pavarde1354         Vardas1354          3.32
Pavarde1355         Vardas1355          2.72
Pavarde1358         Vardas1358          2.76
Pavarde1359         Vardas1359          3.80
Pavarde1362         Vardas1362          2.40
Pavarde1363         Vardas1363          4.08
Pavarde1364         Vardas1364          3.52
Pavarde1366         Vardas1366          2.52
Pavarde1368         Vardas1368          2.60
Pavarde1369         Vardas1369          4.68
Pavarde1370         Vardas1370          3.92
Pavarde1371         Vardas1371          1.92
Pavarde1372         Vardas1372          4.44
Pavarde1373         Vardas1373          5.00
Pavarde1375         Vardas1375          4.60
Pavarde1376         Vardas1376          3.92
Pavarde1378         Vardas1378          3.52
Pavarde1379         Vardas1379          4.92
Pavarde1382         Vardas1382          4.80
Pavarde1383         Vardas1383          1.76
Pavarde1384         Vardas1384          2.20
Pavarde1386         Vardas1386          3.88
Pavarde1388         Vardas1388          2.08
Pavarde1391         Vardas1391          3.96
Pavarde1392         Vardas1392          3.24
Pavarde1395         Vardas1395          4.80
Pavarde1397         Vardas1397          1.12
Pavarde1398         Vardas1398          4.84
Pavarde1403         Vardas1403          3.96
Pavarde1404         Vardas1404          3.12
Pavarde1405         Vardas1405          1.52
Pavarde1406         Vardas1406          2.60
Pavarde1407         Vardas1407          3.24
Pavarde1408         Vardas1408          2.36
Pavarde1410         Vardas1410          4.64
Pavarde1413         Vardas1413          3.68
Pavarde1414         Vardas1414          2.80
Pavarde1421         Vardas1421          2.36
Pavarde1422         Vardas1422          2.08
Pavarde1428         Vardas1428          2.24
Pavarde1430         Vardas1430          3.24
Pavarde1434         Vardas1434          2.04
Pavarde1438         Vardas1438          3.72
Pavarde1440         Vardas1440          4.00
Pavarde1443         Vardas1443          3.08
Pavarde1444         Vardas1444          2.80
Pavarde1445         Vardas1445          2.52
Pavarde1446         Vardas1446          4.84
Pavarde1447         Vardas1447          2.64
Pavarde1452         Vardas1452          3.88
Pavarde1456         Vardas1456          1.68
Pavarde1459         Vardas1459          4.40
Pavarde1462         Vardas1462          3.48
Pavarde1463         Vardas1463          4.68
Pavarde1464         Vardas1464          2.96
Pavarde1465         Vardas1465          3.92
Pavarde1467         Vardas1467          2.92
Pavarde1468         Vardas1468          4.72
Pavarde1469         Vardas1469          4.16
Pavarde1471         Vardas1471          3.52
Pavarde1472         Vardas1472          2.04
Pavarde1473         Vardas1473          4.36
Pavarde1475         Vardas1475          1.84
Pavarde1477         Vardas1477          2.08
Pavarde1480         Vardas1480          3.84
Pavarde1483         Vardas1483          4.24
Pavarde1485         Vardas1485          3.72
Pavarde1487         Vardas1487          1.96
Pavarde1488         Vardas1488          3.00
Pavarde1489         Vardas1489          4.96
Pavarde1490         Vardas1490          3.32
Pavarde1492         Vardas1492          4.24
Pavarde1500         Vardas1500          3.60
Pavarde1503         Vardas1503          3.08
Pavarde1504         Vardas1504          2.72
Pavarde1508         Vardas1508          1.80
Pavarde1509         Vardas1509          4.76
Pavarde1513         Vardas1513          3.80
Pavarde1516         Vardas1516          4.32
Pavarde1517         Vardas1517          3.92
Pavarde1518         Vardas1518          2.60
Pavarde1521         Vardas1521          3.80
Pavarde1523         Vardas1523          2.40
Pavarde1524         Vardas1524          4.28
Pavarde1525         Vardas1525          4.28
