Vardas              Pavarde             ND1 ND2 ND3 ND4 ND5 Egz.
Vardas191           Pavarde191          10 10 8 6 10 8
Vardas192           Pavarde192          6 4 4 4 5 1
Vardas193           Pavarde193          4 3 8 6 7 5
Vardas194           Pavarde194          3 0 8 3 7 5
Vardas195           Pavarde195          0 6 7 1 1 10
Vardas196           Pavarde196          2 10 1 10 2 9
Vardas197           Pavarde197          7 1 0 0 2 1
Vardas198           Pavarde198          5 1 3 7 1 4
Vardas199           Pavarde199          0 8 5 10 7 8
Vardas200           Pavarde200          7 0 6 1 9 6
Vardas201           Pavarde201          5 2 7 7 6 6
Vardas202           Pavarde202          1 1 4 10 5 6
Vardas203           Pavarde203          6 4 8 0 8 10
Vardas204           Pavarde204          7 8 0 5 2 10
Vardas205           Pavarde205          0 4 3 1 10 10
Vardas206           Pavarde206          4 9 1 8 10 1
Vardas207           Pavarde207          2 6 5 2 10 2
Vardas208           Pavarde208          5 1 10 3 8 2
Vardas209           Pavarde209          5 0 5 0 6 8
Vardas210           Pavarde210          3 8 10 7 2 5
Vardas211           Pavarde211          9 0 3 10 0 7
Vardas212           Pavarde212          8 1 1 0 6 7
Vardas213           Pavarde213          8 10 6 7 6 10
Vardas214           Pavarde214          5 4 4 2 4 10
Vardas215           Pavarde215          10 8 7 10 9 4
Vardas216           Pavarde216          5 10 10 5 2 5
Vardas217           Pavarde217          0 8 3 1 0 9
Vardas218           Pavarde218          5 6 2 3 9 8
Vardas219           Pavarde219          2 0 2 3 5 8
Vardas220           Pavarde220          10 4 8 9 7 8
Vardas221           Pavarde221          6 9 0 3 5 8
Vardas222           Pavarde222          2 4 0 2 1 6
Vardas223           Pavarde223          2 5 3 6 0 6
Vardas224           Pavarde224          7 2 9 8 3 2
Vardas225           Pavarde225          10 3 0 8 0 8
Vardas226           Pavarde226          1 1 6 9 0 6
Vardas227           Pavarde227          5 0 10 9 0 6
Vardas228           Pavarde228          6 7 2 9 6 10
Vardas229           Pavarde229          3 6 5 1 3 7
Vardas230           Pavarde230          10 10 3 6 4 6
Vardas231           Pavarde231          5 0 10 10 0 10
Vardas232           Pavarde232          4 6 8 9 9 3
Vardas233           Pavarde233          4 5 8 0 6 5
Vardas234           Pavarde234          1 3 8 7 4 3
Vardas235           Pavarde235          8 4 10 3 2 5
Vardas236           Pavarde236          7 10 7 9 1 7
Vardas237           Pavarde237          10 9 6 1 7 10
Vardas238           Pavarde238          8 2 2 0 10 8
Vardas239           Pavarde239          7 6 9 6 9 5
Vardas240           Pavarde240          5 2 6 6 9 8
Vardas241           Pavarde241          8 0 1 6 2 9
Vardas242           Pavarde242          0 5 10 2 10 10
Vardas243           Pavarde243          2 7 8 7 6 10
Vardas244           Pavarde244          0 10 2 4 0 10
Vardas245           Pavarde245          4 3 3 4 1 3
Vardas246           Pavarde246          7 5 2 4 7 2
Vardas247           Pavarde247          10 9 3 6 5 10
Vardas248           Pavarde248          2 3 5 0 2 5
Vardas249           Pavarde249          6 0 5 0 4 0
Vardas250           Pavarde250          1 6 6 1 7 3
Vardas251           Pavarde251          2 7 6 2 1 2
Vardas252           Pavarde252          3 3 2 7 1 5
Vardas253           Pavarde253          3 10 4 8 7 0
Vardas254           Pavarde254          6 7 7 5 9 1
Vardas255           Pavarde255          5 0 1 4 9 9
Vardas256           Pavarde256          6 6 10 7 5 2
Vardas257           Pavarde257          9 0 1 7 4 2
Vardas258           Pavarde258          3 9 4 1 9 8
Vardas259           Pavarde259          8 7 4 1 6 3
Vardas260           Pavarde260          1 0 1 9 9 1
Vardas261           Pavarde261          1 2 0 4 4 9
Vardas262           Pavarde262          4 6 1 10 3 0
Vardas263           Pavarde263          10 5 9 8 1 0
Vardas264           Pavarde264          10 4 4 3 5 0
Vardas265           Pavarde265          8 1 10 8 0 1
Vardas266           Pavarde266          9 3 2 10 1 8
Vardas267           Pavarde267          5 5 4 6 5 5
Vardas268           Pavarde268          6 2 8 1 1 5
Vardas269           Pavarde269          5 6 4 3 1 2
Vardas270           Pavarde270          2 10 1 3 9 2
Vardas271           Pavarde271          6 10 2 4 0 9
Vardas272           Pavarde272          0 2 2 9 2 10
Vardas273           Pavarde273          1 4 6 7 3 8
Vardas274           Pavarde274          2 9 6 6 2 4
Vardas275           Pavarde275          5 9 0 2 3 3
Vardas276           Pavarde276          3 4 8 2 0 5
Vardas277           Pavarde277          2 0 9 2 0 4
Vardas278           Pavarde278          7 5 2 9 10 2
Vardas279           Pavarde279          1 2 7 2 1 5
Vardas280           Pavarde280          1 8 6 3 4 7
Vardas281           Pavarde281          7 6 9 10 6 3
Vardas282           Pavarde282          8 0 3 4 1 10
Vardas283           Pavarde283          3 10 9 9 0 1
Vardas284           Pavarde284          8 10 1 5 9 0
Vardas285           Pavarde285          10 7 5 5 0 4
Vardas286           Pavarde286          10 1 5 9 2 5
Vardas287           Pavarde287          5 0 9 5 2 5
Vardas288           Pavarde288          8 10 1 6 3 9
Vardas289           Pavarde289          2 2 4 2 3 0
Vardas290           Pavarde290          5 0 6 6 4 4
Vardas291           Pavarde291          3 4 8 6 1 6
Vardas292           Pavarde292          2 3 1 3 1 6
Vardas293           Pavarde293          5 3 1 8 2 7
Vardas294           Pavarde294          5 3 7 8 1 3
Vardas295           Pavarde295          6 3 7 6 3 9
Vardas296           Pavarde296          7 8 2 8 6 9
Vardas297           Pavarde297          10 7 0 5 9 0
Vardas298           Pavarde298          4 4 1 6 8 0
Vardas299           Pavarde299          10 9 4 0 10 4
Vardas300           Pavarde300          3 4 9 1 5 4
Vardas301           Pavarde301          8 4 6 3 3 4
Vardas302           Pavarde302          6 1 7 8 3 6
Vardas303           Pavarde303          6 8 9 5 3 4
Vardas304           Pavarde304          9 9 8 4 0 7
Vardas305           Pavarde305          1 1 1 10 4 4
Vardas306           Pavarde306          8 7 0 2 7 6
Vardas307           Pavarde307          2 8 4 9 1 0
Vardas308           Pavarde308          4 7 9 4 7 7
Vardas309           Pavarde309          5 2 10 6 10 2
Vardas310           Pavarde310          8 9 10 6 0 0
Vardas311           Pavarde311          8 3 10 10 0 9
Vardas312           Pavarde312          7 4 6 9 4 3
Vardas313           Pavarde313          3 6 1 7 4 2
Vardas314           Pavarde314          10 4 10 0 9 8
Vardas315           Pavarde315          0 7 9 1 2 0
Vardas316           Pavarde316          5 10 0 9 6 1
Vardas317           Pavarde317          6 0 2 0 6 2
Vardas318           Pavarde318          6 5 2 5 4 2
Vardas319           Pavarde319          8 10 8 0 9 3
Vardas320           Pavarde320          0 6 6 2 4 6
Vardas321           Pavarde321          6 5 7 7 8 5
Vardas322           Pavarde322          4 3 9 10 5 1
Vardas323           Pavarde323          8 0 7 9 10 1
Vardas324           Pavarde324          3 5 2 2 10 5
Vardas325           Pavarde325          8 3 5 9 7 0
Vardas326           Pavarde326          9 6 9 6 5 8
Vardas327           Pavarde327          4 9 7 10 0 0
Vardas328           Pavarde328          9 1 7 1 10 8
Vardas329           Pavarde329          9 4 7 1 1 3
Vardas330           Pavarde330          6 3 4 10 10 10
Vardas331           Pavarde331          3 6 3 8 3 5
Vardas332           Pavarde332          1 8 10 3 8 2
Vardas333           Pavarde333          5 5 7 5 8 5
Vardas334           Pavarde334          7 3 3 3 5 1
Vardas335           Pavarde335          6 2 8 2 9 5
Vardas336           Pavarde336          3 9 3 5 5 7
Vardas337           Pavarde337          4 8 9 5 8 3
Vardas338           Pavarde338          5 8 5 9 10 8
Vardas339           Pavarde339          0 9 1 7 1 7
Vardas340           Pavarde340          3 9 9 1 3 6
Vardas341           Pavarde341          10 2 4 0 6 0
Vardas342           Pavarde342          4 4 5 6 4 4
Vardas343           Pavarde343          9 10 1 9 4 3
Vardas344           Pavarde344          10 10 10 10 10 3
Vardas345           Pavarde345          1 5 4 5 5 0
Vardas346           Pavarde346          1 5 1 5 7 1
Vardas347           Pavarde347          2 3 3 0 8 10
Vardas348           Pavarde348          3 0 10 4 4 4
Vardas349           Pavarde349          7 0 7 10 0 9
Vardas350           Pavarde350          8 6 10 8 6 0
Vardas351           Pavarde351          0 7 10 8 6 6
Vardas352           Pavarde352          4 5 8 7 9 7
Vardas353           Pavarde353          6 6 10 9 2 0
Vardas354           Pavarde354          7 1 9 0 8 4
Vardas355           Pavarde355          10 8 1 3 9 1
Vardas356           Pavarde356          7 3 4 6 0 3
Vardas357           Pavarde357          10 8 0 1 6 1
Vardas358           Pavarde358          8 9 7 1 0 1
Vardas359           Pavarde359          1 9 3 0 5 5
Vardas360           Pavarde360          8 9 8 10 4 6
Vardas361           Pavarde361          3 6 2 3 1 9
Vardas362           Pavarde362          2 0 0 9 5 9
Vardas363           Pavarde363          4 2 8 2 1 1
Vardas364           Pavarde364          9 9 10 7 9 1
Vardas365           Pavarde365          3 7 7 4 7 3
Vardas366           Pavarde366          2 9 7 3 10 3
Vardas367           Pavarde367          5 9 7 0 1 5
Vardas368           Pavarde368          2 7 0 2 2 9
Vardas369           Pavarde369          6 8 2 10 5 4
Vardas370           Pavarde370          6 5 10 1 4 3
Vardas371           Pavarde371          4 0 2 5 1 10
Vardas372           Pavarde372          4 6 5 4 8 2
Vardas373           Pavarde373          6 7 3 0 8 6
Vardas374           Pavarde374          8 4 7 5 6 7
Vardas375           Pavarde375          5 6 7 4 9 0
Vardas376           Pavarde376          2 5 7 9 2 2
Vardas377           Pavarde377          0 1 4 9 3 8
Vardas378           Pavarde378          1 0 7 2 3 3
Vardas379           Pavarde379          7 9 6 3 4 0
Vardas380           Pavarde380          9 1 8 8 1 7
Vardas381           Pavarde381          10 4 6 2 3 9
Vardas382           Pavarde382          0 1 9 7 6 0
Vardas383           Pavarde383          10 7 7 7 8 10
Vardas384           Pavarde384          2 4 0 9 4 9
Vardas385           Pavarde385          9 10 3 10 4 10
Vardas386           Pavarde386          2 2 6 4 1 5
Vardas387           Pavarde387          8 3 1 2 2 0
Vardas388           Pavarde388          3 10 9 7 10 10
Vardas389           Pavarde389          1 2 6 8 4 6
Vardas390           Pavarde390          0 5 9 2 6 3
Vardas391           Pavarde391          3 9 10 3 1 0
Vardas392           Pavarde392          0 8 0 0 1 2
Vardas393           Pavarde393          8 1 1 7 7 7
Vardas394           Pavarde394          0 4 0 0 5 5
Vardas395           Pavarde395          8 9 4 9 6 6
Vardas396           Pavarde396          4 3 9 1 0 10
Vardas397           Pavarde397          5 6 10 5 9 6
Vardas398           Pavarde398          5 10 6 6 10 2
Vardas399           Pavarde399          6 5 4 10 7 9
Vardas400           Pavarde400          9 6 4 1 2 8
Vardas401           Pavarde401          6 2 6 10 2 0
Vardas402           Pavarde402          7 10 0 2 10 2
Vardas403           Pavarde403          1 7 1 4 3 1
Vardas404           Pavarde404          9 9 8 3 8 5
Vardas405           Pavarde405          3 3 0 3 9 8
Vardas406           Pavarde406          2 1 9 0 1 8
Vardas407           Pavarde407          0 7 1 0 8 3
Vardas408           Pavarde408          10 0 2 0 5 8
Vardas409           Pavarde409          9 6 0 4 2 3
Vardas410           Pavarde410          7 7 9 1 6 9
Vardas411           Pavarde411          10 5 5 6 1 6
Vardas412           Pavarde412          9 4 10 6 4 5
Vardas413           Pavarde413          4 6 10 2 4 1
Vardas414           Pavarde414          4 0 1 6 8 4
Vardas415           Pavarde415          4 7 1 4 8 6
Vardas416           Pavarde416          5 4 7 8 6 2
Vardas417           Pavarde417          1 10 10 2 9 2
Vardas418           Pavarde418          5 4 3 8 0 2
Vardas419           Pavarde419          8 4 3 9 10 6
Vardas420           Pavarde420          4 5 7 10 6 2
Vardas421           Pavarde421          0 10 10 2 2 4
Vardas422           Pavarde422          2 3 4 9 2 1
Vardas423           Pavarde423          6 10 2 2 10 2
Vardas424           Pavarde424          6 1 2 1 6 10
Vardas425           Pavarde425          3 10 3 2 1 1
Vardas426           Pavarde426          5 10 2 6 2 2
Vardas427           Pavarde427          10 3 5 3 9 8
Vardas428           Pavarde428          1 0 6 1 8 5
Vardas429           Pavarde429          10 9 4 3 1 4
Vardas430           Pavarde430          5 2 5 6 9 0
Vardas431           Pavarde431          8 8 4 2 6 6
Vardas432           Pavarde432          7 1 6 10 7 9
Vardas433           Pavarde433          0 4 7 3 3 4
Vardas434           Pavarde434          9 9 3 7 1 9
Vardas435           Pavarde435          9 10 2 0 3 7
Vardas436           Pavarde436          5 3 8 7 3 7
Vardas437           Pavarde437          10 3 5 7 7 3
Vardas438           Pavarde438          8 5 4 10 7 1
Vardas439           Pavarde439          9 0 1 5 4 5
Vardas440           Pavarde440          6 5 1 3 1 2
Vardas441           Pavarde441          5 2 10 5 1 1
Vardas442           Pavarde442          9 4 6 1 0 3
Vardas443           Pavarde443          3 5 5 8 3 10
Vardas444           Pavarde444          7 5 4 2 2 8
Vardas445           Pavarde445          4 3 4 6 1 1
Vardas446           Pavarde446          6 0 8 1 7 5
Vardas447           Pavarde447          2 7 1 10 6 0
Vardas448           Pavarde448          4 0 9 1 6 3
Vardas449           Pavarde449          2 5 0 8 6 9
Vardas450           Pavarde450          5 7 6 8 5 0
Vardas451           Pavarde451          8 6 5 6 3 10
Vardas452           Pavarde452          9 2 8 9 5 4
Vardas453           Pavarde453          9 9 2 0 7 1
Vardas454           Pavarde454          3 9 9 4 4 4
Vardas455           Pavarde455          4 1 8 8 10 1
Vardas456           Pavarde456          2 1 4 1 6 0
Vardas457           Pavarde457          9 5 8 9 5 3
Vardas458           Pavarde458          7 8 7 0 0 2
Vardas459           Pavarde459          7 3 5 3 0 10
Vardas460           Pavarde460          7 10 8 1 8 4
Vardas461           Pavarde461          1 7 7 8 3 4
Vardas462           Pavarde462          5 3 4 5 2 8
Vardas463           Pavarde463          6 8 8 10 4 0
Vardas464           Pavarde464          1 2 9 9 5 8
Vardas465           Pavarde465          7 0 8 0 4 10
Vardas466           Pavarde466          4 8 1 2 8 1
Vardas467           Pavarde467          10 10 5 10 0 5
Vardas468           Pavarde468          4 6 2 3 3 5
Vardas469           Pavarde469          6 8 10 5 8 9
Vardas470           Pavarde470          9 4 1 8 7 2
Vardas471           Pavarde471          5 1 5 10 8 2
Vardas472           Pavarde472          6 4 7 10 3 3
Vardas473           Pavarde473          10 6 0 6 9 9
Vardas474           Pavarde474          9 9 5 6 4 6
Vardas475           Pavarde475          7 0 3 9 0 5
Vardas476           Pavarde476          2 5 9 10 2 3
Vardas477           Pavarde477          7 7 0 10 7 3
Vardas478           Pavarde478          4 2 2 4 2 4
Vardas479           Pavarde479          8 6 1 8 9 6
Vardas480           Pavarde480          7 4 4 3 4 9
Vardas481           Pavarde481          10 8 2 5 1 1
Vardas482           Pavarde482          0 5 2 0 8 10
Vardas483           Pavarde483          2 4 9 6 7 1
Vardas484           Pavarde484          10 5 8 0 3 10
Vardas485           Pavarde485          8 0 1 2 7 4
Vardas486           Pavarde486          3 4 2 4 2 7
Vardas487           Pavarde487          6 3 5 0 7 8
Vardas488           Pavarde488          1 0 2 3 0 4
Vardas489           Pavarde489          2 4 2 1 0 0
Vardas490           Pavarde490          9 8 4 6 5 4
Vardas491           Pavarde491          8 8 4 5 8 7
Vardas492           Pavarde492          8 0 1 0 6 6
Vardas493           Pavarde493          3 2 10 1 10 10
Vardas494           Pavarde494          9 6 10 5 4 6
Vardas495           Pavarde495          1 1 7 9 7 9
Vardas496           Pavarde496          1 8 3 4 9 8
Vardas497           Pavarde497          5 4 1 8 7 1
Vardas498           Pavarde498          2 1 1 8 8 2
Vardas499           Pavarde499          0 1 0 3 7 5
Vardas500           Pavarde500          8 6 0 6 8 0
Vardas501           Pavarde501          0 1 7 7 10 8
Vardas502           Pavarde502          3 6 5 2 1 7
Vardas503           Pavarde503          0 7 5 6 6 1
Vardas504           Pavarde504          9 9 1 7 6 6
Vardas505           Pavarde505          9 3 4 4 4 9
Vardas506           Pavarde506          3 1 0 9 0 7
Vardas507           Pavarde507          8 0 6 8 7 3
Vardas508           Pavarde508          2 8 7 7 0 2
Vardas509           Pavarde509          0 6 5 1 6 5
Vardas510           Pavarde510          7 0 8 1 2 3
Vardas511           Pavarde511          10 2 0 6 10 8
Vardas512           Pavarde512          3 3 9 3 8 1
Vardas513           Pavarde513          0 0 9 6 2 3
Vardas514           Pavarde514          4 9 0 1 4 6
Vardas515           Pavarde515          6 4 4 3 1 10
Vardas516           Pavarde516          8 10 0 10 10 8
Vardas517           Pavarde517          2 4 1 5 0 10
Vardas518           Pavarde518          7 9 1 7 3 5
Vardas519           Pavarde519          0 8 1 10 6 6
Vardas520           Pavarde520          5 5 6 8 0 2
Vardas521           Pavarde521          2 4 7 5 2 6
Vardas522           Pavarde522          0 1 0 1 0 1
Vardas523           Pavarde523          1 7 8 8 10 5
Vardas524           Pavarde524          7 4 4 0 3 4
Vardas525           Pavarde525          2 9 3 10 1 8
Vardas526           Pavarde526          2 0 10 6 1 6
Vardas527           Pavarde527          5 0 3 10 3 3
Vardas528           Pavarde528          7 7 3 0 3 6
Vardas529           Pavarde529          6 8 6 7 9 6
Vardas530           Pavarde530          4 2 2 5 10 7
Vardas531           Pavarde531          6 3 8 7 10 3
Vardas532           Pavarde532          2 2 7 7 5 6
Vardas533           Pavarde533          2 2 4 0 6 4
Vardas534           Pavarde534          4 4 6 6 4 10
Vardas535           Pavarde535          9 8 3 4 2 7
Vardas536           Pavarde536          9 8 8 1 0 0
Vardas537           Pavarde537          1 10 4 3 10 1
Vardas538           Pavarde538          6 4 1 10 3 1
Vardas539           Pavarde539          1 8 2 4 4 6
Vardas540           Pavarde540          5 9 3 3 9 1
Vardas541           Pavarde541          4 2 0 9 7 9
Vardas542           Pavarde542          0 10 0 9 0 9
Vardas543           Pavarde543          2 10 3 1 3 7
Vardas544           Pavarde544          0 6 7 4 4 1
Vardas545           Pavarde545          8 6 4 1 3 3
Vardas546           Pavarde546          5 3 2 2 2 0
Vardas547           Pavarde547          5 9 2 7 6 7
Vardas548           Pavarde548          9 8 8 6 0 10
Vardas549           Pavarde549          9 6 2 10 3 9
Vardas550           Pavarde550          4 7 5 8 2 2
Vardas551           Pavarde551          5 4 6 3 6 3
Vardas552           Pavarde552          2 0 5 6 10 9
Vardas553           Pavarde553          0 4 1 3 5 4
Vardas554           Pavarde554          3 2 8 8 6 3
Vardas555           Pavarde555          10 7 8 6 6 3
Vardas556           Pavarde556          7 2 9 8 5 0
Vardas557           Pavarde557          7 1 2 7 10 4
